Batch,Accuracy,Precision,Recall,F1,Method
3,99.24337957124843,82.47952945196285,82.67194202296942,82.56312904964794,PI-IDAN
4,73.91304347826086,68.58288770053477,69.3172642118863,63.531463867598326,PI-IDAN
5,98.47715736040608,82.49407042510491,81.87313089487002,82.16588479746375,PI-IDAN
6,91.47826086956522,84.57914568015372,92.46210363938368,83.91181423461741,PI-IDAN
7,74.89620813728204,79.99869242699104,76.04638233774469,75.28412990294494,PI-IDAN
8,84.35374149659864,94.85304659498209,77.49287749287748,81.07522829660134,PI-IDAN
9,80.42553191489363,86.63485056110956,81.02784893874004,76.97022497518576,PI-IDAN
10,57.55555555555556,62.152757009199135,57.55555555555556,56.0094593543457,PI-IDAN
3,97.60403530895334,81.45939892675247,80.86750880186953,81.1019910034661,Baseline
4,72.67080745341616,68.24673864147547,68.2061531007752,62.63215286114446,Baseline
5,97.96954314720813,81.45587984297661,81.51081205429031,81.42360464394363,Baseline
6,80.73913043478261,83.33302190267098,82.20832129725723,70.94701347427312,Baseline
7,72.21145862164407,79.25656661203105,73.55548506689468,68.84924018119771,Baseline
8,81.29251700680273,86.77827189532876,69.04169904169905,67.18130923084482,Baseline
9,62.76595744680851,61.33693343947677,66.93162393162395,54.296213067205635,Baseline
10,57.388888888888886,57.94584563069621,57.388888888888886,55.824299000917186,Baseline
